Year,Title,Authors,Number of authors,Abstract,Citations,Paper file
1989,Comparing the Performance of Connectionist and Statistical Classifiers on an Image Segmentation Problem,"Sheri Gish, W. Blanz",2,"In  this  study,  we  test  the  suitability  of a  connection(cid:173)",0,https://papers.nips.cc/paper_files/paper/1989/file/01161aaa0b6d1345dd8fe4e481144d84-Paper.pdf
1989,Analog Circuits for Constrained Optimization,John Platt,1,This paper  explores  whether  analog  circuitry  can  adequately  per(cid:173) form  constrained  optimization.  Constrained optimization  circuits  are  designed  using  the  differential  multiplier  method.  These  cir(cid:173) cuits fulfill  time-varying constraints correctly.  Example circuits in(cid:173) clude  a  quadratic programming circuit and a  constrained flip-flop.,0,https://papers.nips.cc/paper_files/paper/1989/file/0266e33d3f546cb5436a10798e657d97-Paper.pdf
1989,Training Stochastic Model Recognition Algorithms as Networks can Lead to Maximum Mutual Information Estimation of Parameters,John Bridle,1,"One  of the  attractions  of neural  network  approaches  to  pattern  recognition  is  the  use  of a  discrimination-based  training  method.  We  show  that once  we  have  modified  the  output  layer  of a  multi(cid:173) layer perceptron to provide mathematically correct  probability dis(cid:173) tributions,  and  replaced  the  usual  squared  error  criterion  with  a  probability-based score,  the  result  is equivalent  to  Maximum  Mu(cid:173) tual  Information training,  which  has  been  used  successfully  to im(cid:173) prove  the  performance  of hidden  Markov models for  speech  recog(cid:173) nition.  If the network is specially constructed to perform the recog(cid:173) nition computations of a  given kind of stochastic model based clas(cid:173) sifier  then we  obtain a  method for  discrimination-based training of  the  parameters  of the  models.  Examples  include  an  HMM-based  word discriminator,  which  we  call an 'Alphanet'.",0,https://papers.nips.cc/paper_files/paper/1989/file/0336dcbab05b9d5ad24f4333c7658a0e-Paper.pdf
1989,Can Simple Cells Learn Curves? A Hebbian Model in a Structured Environment,"William Softky, Daniel Kammen",2,"In the mammalian visual cortex,  orientation-selective 'simple cells'  which detect  straight lines  may be adapted  to detect  curved  lines  instead.  We  test  a  biologically  plausible,  Hebbian,  single-neuron  model,  which learns oriented receptive fields  upon exposure  to un(cid:173) structured (noise) input and maintains orientation selectivity upon  exposure  to  edges  or  bars  of all  orientations  and  positions.  This  model  can  also  learn  arc-shaped  receptive  fields  upon  exposure  to an environment of only  circular  rings.  Thus,  new  experiments  which try to induce an abnormal (curved) receptive field  may pro(cid:173) vide insight into the plasticity of simple cells.  The model suggests  that exposing  cells  to only  a  single  spatial  frequency  may induce  more  striking spatial frequency  and  orientation  dependent effects  than heretofore observed.",0,https://papers.nips.cc/paper_files/paper/1989/file/03c6b06952c750899bb03d998e631860-Paper.pdf
1989,Development and Regeneration of Eye-Brain Maps: A Computational Model,"Jack Cowan, A. Friedman",2,We outline a computational model  of the development and regenera(cid:173) tion of specific eye-brain circuits. The model comprises a self-organiz(cid:173) ing map-forming network which uses local Hebb rules. constrained by  molecular markers.  Various  simulations of the development of eye(cid:173) brain maps in fish and frogs are described.,0,https://papers.nips.cc/paper_files/paper/1989/file/060ad92489947d410d897474079c1477-Paper.pdf
1989,Predicting Weather Using a Genetic Memory: A Combination of Kanerva's Sparse Distributed Memory with Holland's Genetic Algorithms,David Rogers,1,"Kanerva's  sparse distributed  memory  (SDM)  is  an  associative-memo(cid:173) ry  model  based  on  the  mathematical  properties  of  high-dimensional  binary address  spaces.  Holland's genetic  algorithms are  a  search  tech(cid:173) nique  for  high-dimensional  spaces  inspired  by  evolutionary  processes  of DNA.  ""Genetic  Memory""  is  a  hybrid  of the  above  two  systems,  in  which  the  memory  uses  a  genetic  algorithm  to  dynamically  recon(cid:173) figure  its  physical  storage  locations  to  reflect  correlations  between  the  stored  addresses  and  data.  For  example,  when  presented  with  raw  weather station  data,  the  Genetic  Memory  discovers  specific  fea(cid:173) tures  in  the  weather  data  which  correlate  well  with  upcoming  rain,  and  reconfigures  the  memory  to  utilize  this  information  effectively.  This  architecture  is  designed  to  maximize  the  ability  of the  system  to scale-up to handle real-world problems.",0,https://papers.nips.cc/paper_files/paper/1989/file/06138bc5af6023646ede0e1f7c1eac75-Paper.pdf
1989,Neural Network Analysis of Distributed Representations of Dynamical Sensory-Motor Transformations in the Leech,"Shawn Lockery, Yan Fang, Terrence J. Sejnowski",3,"Interneurons in leech ganglia receive multiple sensory inputs and make  synaptic contacts with many motor neurons. These ""hidden"" units  coordinate several different behaviors. We used physiological and  anatomical constraints to construct a model of the local bending reflex.  Dynamical networks were trained on experimentally derived input-output  patterns using recurrent back-propagation. Units in the model were  modified to include electrical synapses and multiple synaptic time  constants. The properties of the hidden units that emerged in the  simulations matched those in the leech. The model and data support  distributed rather than localist representations in the local bending reflex.  These results also explain counterintuitive aspects of the local bending  circuitry.",0,https://papers.nips.cc/paper_files/paper/1989/file/077e29b11be80ab57e1a2ecabb7da330-Paper.pdf
1989,A Computer Modeling Approach to Understanding the Inferior Olive and Its Relationships to the Cerebellar Cortex in Rats,"Maurice Lee, James Bower",2,"This paper presents the results of a simulation of the spatial relationship  between the inferior olivary nucleus and  folium  crus IIA of the lateral  hemisphere  of  the  rat  cerebellum.  The  principal  objective  of  this  modeling effort was to resolve an apparent conflict between a proposed  zonal organization of olivary projections to cerebellar cortex suggested  by  anatomical  tract-tracing  experiments  (Brodal  &  Kawamura  1980;  Campbell & Armstrong  1983) and a more patchy organization apparent  with physiological mapping (Robertson  1987).  The results suggest that  several unique features  of the olivocerebellar circuit may contribute to  the appearance of zonal organization using anatomical  techniques, but  that  the  detailed  patterns  of  patchy  tactile  projections  seen  with  physiological  techniques  are  a  more  accurate  representation  of  the  afferent organization of this region of cortex.",0,https://papers.nips.cc/paper_files/paper/1989/file/084b6fbb10729ed4da8c3d3f5a3ae7c9-Paper.pdf
1989,Generalization and Scaling in Reinforcement Learning,"David Ackley, Michael Littman",2,"In  associative reinforcement learning,  an environment generates input  vectors, a  learning system generates possible output vectors, and a  re(cid:173) inforcement function computes feedback signals from the input-output  pairs.  The  task is  to discover  and  remember  input-output  pairs  that  generate  rewards.  Especially  difficult  cases  occur  when  rewards  are  rare, since the expected time for any algorithm can grow exponentially  with the size  of the problem.  Nonetheless, if a  reinforcement function  possesses regularities, and a learning algorithm exploits them, learning  time  can be reduced  below that  of non-generalizing  algorithms.  This  paper  describes  a  neural  network algorithm called  complementary  re(cid:173) inforcement  back-propagation (CRBP),  and  reports simulation results  on problems designed to offer differing opportunities for generalization. ",0,https://papers.nips.cc/paper_files/paper/1989/file/091d584fced301b442654dd8c23b3fc9-Paper.pdf
1989,Neural Network Weight Matrix Synthesis Using Optimal Control Techniques,"O. Farotimi, Amir Dembo, Thomas Kailath",3,T.  Kailath ,0,https://papers.nips.cc/paper_files/paper/1989/file/0aa1883c6411f7873cb83dacb17b0afc-Paper.pdf
1989,Collective Oscillations in the Visual Cortex,"Daniel Kammen, Christof Koch, Philip Holmes",3,"The  firing  patterns  of populations  of cells  in  the  cat  visual  cor(cid:173) tex can  exhibit  oscillatory  responses  in  the  range  of 35  - 85  Hz.  Furthermore,  groups  of neurons  many  mm's  apart  can  be  highly  synchronized  as  long  as  the  cells  have  similar  orientation  tuning.  We investigate two basic network architectures that incorporate ei(cid:173) ther nearest-neighbor or global feedback interactions and conclude  that non-local feedback plays a  fundamental role in the initial syn(cid:173) chronization and dynamic stability of the oscillations.",0,https://papers.nips.cc/paper_files/paper/1989/file/0e01938fc48a2cfb5f2217fbfb00722d-Paper.pdf
1989,Neural Networks: The Early Days,Jack Cowan,1,"A short account is  given of various  investigations of neural  network  properties,  beginning  with  the  classic  work of McCulloch  & Pitts.  Early work on neurodynamics and statistical mechanics, analogies with  magnetic materials, fault tolerance via parallel distributed processing,  memory, learning,  and pattern recognition,  is described.",0,https://papers.nips.cc/paper_files/paper/1989/file/0e65972dce68dad4d52d063967f0a705-Paper.pdf
1989,Operational Fault Tolerance of CMAC Networks,"Michael Carter, Franklin Rudolph, Adam Nucci",3,"The performance sensitivity of Albus' CMAC network was studied for  the scenario in which faults are introduced into the adjustable weights  after training has been accomplished.  It was found that fault sensitivity  was reduced with increased generalization when ""loss of weight"" faults  were considered,  but sensitivity  was increased for  ""saturated weight""  faults.",0,https://papers.nips.cc/paper_files/paper/1989/file/0f49c89d1e7298bb9930789c8ed59d48-Paper.pdf
